"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 1372",https://www.congress.gov/bill/116th-congress/senate-bill/1372,"116th Congress (2019-2020)",,"PFAS Accountability Act of 2019","Sen. Stabenow, Debbie [D-MI]",05/08/2019,,,,10,"Senate - Environment and Public Works",05/08/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1371",https://www.congress.gov/bill/116th-congress/senate-bill/1371,"116th Congress (2019-2020)",,"Oxybenzone and Octinoxate Impact Study Act of 2019","Sen. Merkley, Jeff [D-OR]",05/08/2019,,,,1,"Senate - Environment and Public Works",05/08/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1345",https://www.congress.gov/bill/116th-congress/senate-bill/1345,"116th Congress (2019-2020)",,"A bill to amend and reauthorize the Morris K. Udall and Stewart L. Udall Foundation Act.","Sen. Heinrich, Martin [D-NM]",05/07/2019,,,,3,"Senate - Environment and Public Works",09/11/2019,"By Senator Barrasso from Committee on Environment and Public Works filed written report. Report No. 116-101."
"S. 1326",https://www.congress.gov/bill/116th-congress/senate-bill/1326,"116th Congress (2019-2020)",,"Chronic Wasting Disease Research Act","Sen. Hoeven, John [R-ND]",05/06/2019,,,,3,"Senate - Agriculture, Nutrition, and Forestry",05/06/2019,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry."
"S. 1251",https://www.congress.gov/bill/116th-congress/senate-bill/1251,"116th Congress (2019-2020)",,"Safe Drinking Water Assistance Act of 2019","Sen. Shaheen, Jeanne [D-NH]",04/30/2019,,,,2,"Senate - Environment and Public Works",04/30/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1232",https://www.congress.gov/bill/116th-congress/senate-bill/1232,"116th Congress (2019-2020)",,"RECLAIM Act of 2019","Sen. Manchin, Joe, III [D-WV]",04/30/2019,,,,6,"Senate - Energy and Natural Resources",04/30/2019,"Read twice and referred to the Committee on Energy and Natural Resources."
"S. 1139",https://www.congress.gov/bill/116th-congress/senate-bill/1139,"116th Congress (2019-2020)",,"National Fish and Wildlife Foundation Reauthorization Act of 2019","Sen. Cardin, Benjamin L. [D-MD]",04/10/2019,,,,5,"Senate - Environment and Public Works",04/10/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1087",https://www.congress.gov/bill/116th-congress/senate-bill/1087,"116th Congress (2019-2020)",,"Water Quality Certification Improvement Act of 2019","Sen. Barrasso, John [R-WY]",04/09/2019,,,,6,"Senate - Environment and Public Works",11/19/2019,"Committee on Environment and Public Works. Hearings held."
"S. 1051",https://www.congress.gov/bill/116th-congress/senate-bill/1051,"116th Congress (2019-2020)",,"A bill to amend the Endangered Species Act of 1973 to establish a program to allow States to assume certain Federal responsibilities under that Act with respect to agency actions applicable to highway projects within the States, and for other purposes.","Sen. Cornyn, John [R-TX]",04/04/2019,,,,3,"Senate - Environment and Public Works",04/04/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1050",https://www.congress.gov/bill/116th-congress/senate-bill/1050,"116th Congress (2019-2020)",,"A bill to amend the Federal Water Pollution Control Act to increase the ability of a State to administer a permit program under that Act, and for other purposes.","Sen. Cornyn, John [R-TX]",04/04/2019,,,,4,"Senate - Environment and Public Works",04/04/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1022",https://www.congress.gov/bill/116th-congress/senate-bill/1022,"116th Congress (2019-2020)",,"Greener Air Standards Mean Our National Security, Environment, and Youth Saved Act","Sen. Markey, Edward J. [D-MA]",04/03/2019,,,,18,"Senate - Environment and Public Works",04/03/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 990",https://www.congress.gov/bill/116th-congress/senate-bill/990,"116th Congress (2019-2020)",,"Platte River Recovery Implementation Program Extension Act","Sen. Barrasso, John [R-WY]",04/02/2019,,,,5,"Senate - Energy and Natural Resources",10/24/2019,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 268."
"S. 950",https://www.congress.gov/bill/116th-congress/senate-bill/950,"116th Congress (2019-2020)",,"PFAS Detection Act of 2019","Sen. Stabenow, Debbie [D-MI]",03/28/2019,,,,6,"Senate - Environment and Public Works",03/28/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 940",https://www.congress.gov/bill/116th-congress/senate-bill/940,"116th Congress (2019-2020)",,"Healthy Climate and Family Security Act of 2019","Sen. Van Hollen, Chris [D-MD]",03/28/2019,,,,0,"Senate - Finance",03/28/2019,"Read twice and referred to the Committee on Finance."
"S. 921",https://www.congress.gov/bill/116th-congress/senate-bill/921,"116th Congress (2019-2020)",,"Protect Children, Farmers, and Farmworkers from Nerve Agent Pesticides Act of 2019","Sen. Udall, Tom [D-NM]",03/28/2019,,,,16,"Senate - Agriculture, Nutrition, and Forestry",03/28/2019,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry."
"S. 868",https://www.congress.gov/bill/116th-congress/senate-bill/868,"116th Congress (2019-2020)",,"Women and Climate Change Act of 2019","Sen. Hirono, Mazie K. [D-HI]",03/26/2019,,,,5,"Senate - Foreign Relations",03/26/2019,"Read twice and referred to the Committee on Foreign Relations. (Sponsor introductory remarks on measure: CR S1989-1991)"
"S. 865",https://www.congress.gov/bill/116th-congress/senate-bill/865,"116th Congress (2019-2020)",,"Spill Response and Prevention Surety Act","Sen. Sullivan, Dan  [R-AK]",03/25/2019,,,,1,"Senate - Finance",03/25/2019,"Read twice and referred to the Committee on Finance."
"S. 763",https://www.congress.gov/bill/116th-congress/senate-bill/763,"116th Congress (2019-2020)",,"Climate Change Resiliency Fund for America Act of 2019","Sen. Durbin, Richard J. [D-IL]",03/12/2019,,,,0,"Senate - Finance",03/12/2019,"Read twice and referred to the Committee on Finance. (text: CR S1795-1797)"
"S. 747",https://www.congress.gov/bill/116th-congress/senate-bill/747,"116th Congress (2019-2020)",,"Diesel Emissions Reduction Act of 2019","Sen. Carper, Thomas R. [D-DE]",03/12/2019,,,,10,"Senate - Environment and Public Works",05/13/2019,"By Senator Barrasso from Committee on Environment and Public Works filed written report. Report No. 116-39."
"S. 729",https://www.congress.gov/bill/116th-congress/senate-bill/729,"116th Congress (2019-2020)",,"A bill to prohibit the use of funds to Federal agencies to establish a panel, task force, advisory committee, or other effort to challenge the scientific consensus on climate change, and for other purposes.","Sen. Schumer, Charles E. [D-NY]",03/07/2019,,,,16,,03/11/2019,"Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 35."
"S. 717",https://www.congress.gov/bill/116th-congress/senate-bill/717,"116th Congress (2019-2020)",,"Alan Reinstein Ban Asbestos Now Act of 2019","Sen. Merkley, Jeff [D-OR]",03/07/2019,,,,14,"Senate - Environment and Public Works",03/07/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 701",https://www.congress.gov/bill/116th-congress/senate-bill/701,"116th Congress (2019-2020)",,"Chesapeake Bay Program Reauthorization Act","Sen. Cardin, Benjamin L. [D-MD]",03/07/2019,,,,5,"Senate - Environment and Public Works",03/07/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 638",https://www.congress.gov/bill/116th-congress/senate-bill/638,"116th Congress (2019-2020)",,"PFAS Action Act of 2019","Sen. Carper, Thomas R. [D-DE]",02/28/2019,,,,52,"Senate - Environment and Public Works",02/28/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 611",https://www.congress.gov/bill/116th-congress/senate-bill/611,"116th Congress (2019-2020)",,"Water Affordability, Transparency, Equity, and Reliability Act of 2019","Sen. Sanders, Bernard [I-VT]",02/28/2019,,,,3,"Senate - Environment and Public Works",02/28/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 581",https://www.congress.gov/bill/116th-congress/senate-bill/581,"116th Congress (2019-2020)",,"Fuel Choice and Deregulation Act of 2019","Sen. Paul, Rand [R-KY]",02/27/2019,,,,1,"Senate - Environment and Public Works",02/27/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 502",https://www.congress.gov/bill/116th-congress/senate-bill/502,"116th Congress (2019-2020)",,"State, Tribal, and Local Species Transparency and Recovery Act","Sen. Enzi, Michael B. [R-WY]",02/14/2019,,,,2,"Senate - Environment and Public Works",02/14/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 483",https://www.congress.gov/bill/116th-congress/senate-bill/483,"116th Congress (2019-2020)",,"Pesticide Registration Improvement Extension Act of 2018","Sen. Roberts, Pat [R-KS]",02/13/2019,,,,2,,03/08/2019,"Became Public Law No: 116-8."
"S. 477",https://www.congress.gov/bill/116th-congress/senate-bill/477,"116th Congress (2019-2020)",,"Climate Change Education Act","Sen. Markey, Edward J. [D-MA]",02/13/2019,,,,19,"Senate - Commerce, Science, and Transportation",02/13/2019,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
"S. 458",https://www.congress.gov/bill/116th-congress/senate-bill/458,"116th Congress (2019-2020)",,"A bill to require the Administrator of the Environmental Protection Agency to revise certain ethylene oxide emissions standards under the Clean Air Act, and for other purposes.","Sen. Durbin, Richard J. [D-IL]",02/12/2019,,,,1,"Senate - Environment and Public Works",02/12/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 451",https://www.congress.gov/bill/116th-congress/senate-bill/451,"116th Congress (2019-2020)",,"Expanding Transparency of Information and Safeguarding Toxics (EtO is Toxic) Act of 2019","Sen. Duckworth, Tammy [D-IL]",02/12/2019,,,,1,"Senate - Environment and Public Works",02/12/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 383",https://www.congress.gov/bill/116th-congress/senate-bill/383,"116th Congress (2019-2020)",,"USE IT Act","Sen. Barrasso, John [R-WY]",02/07/2019,,,,16,"Senate - Environment and Public Works",05/13/2019,"By Senator Barrasso from Committee on Environment and Public Works filed written report. Report No. 116-38."
"S. 376",https://www.congress.gov/bill/116th-congress/senate-bill/376,"116th Congress (2019-2020)",,"Defense of Environment and Property Act of 2019","Sen. Paul, Rand [R-KY]",02/07/2019,,,,3,"Senate - Environment and Public Works",02/07/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 261",https://www.congress.gov/bill/116th-congress/senate-bill/261,"116th Congress (2019-2020)",,"North American Wetlands Conservation Extension Act","Sen. Heinrich, Martin [D-NM]",01/29/2019,,,,39,"Senate - Environment and Public Works",01/29/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 233",https://www.congress.gov/bill/116th-congress/senate-bill/233,"116th Congress (2019-2020)",,"EPA Special Hiring Authority Transparency Act","Sen. Duckworth, Tammy [D-IL]",01/28/2019,,,,1,"Senate - Environment and Public Works",01/28/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 181",https://www.congress.gov/bill/116th-congress/senate-bill/181,"116th Congress (2019-2020)",,"Comprehensive National Mercury Monitoring Act","Sen. Collins, Susan M. [R-ME]",01/17/2019,,,,1,"Senate - Environment and Public Works",01/17/2019,"Read twice and referred to the Committee on Environment and Public Works."
"S. 163",https://www.congress.gov/bill/116th-congress/senate-bill/163,"116th Congress (2019-2020)",,"Alaska Remote Generator Reliability and Protection Act","Sen. Sullivan, Dan  [R-AK]",01/16/2019,,,,1,"House - Energy and Commerce | Senate - Environment and Public Works",10/04/2019,"Became Public Law No: 116-62."
"S. 10",https://www.congress.gov/bill/116th-congress/senate-bill/10,"116th Congress (2019-2020)",,"South Florida Clean Coastal Waters Act of 2019","Sen. Rubio, Marco [R-FL]",01/03/2019,,,,1,"Senate - Commerce, Science, and Transportation",11/13/2019,"Committee on Commerce, Science, and Transportation. Ordered to be reported without amendment favorably."
"S.J.Res. 53",https://www.congress.gov/bill/116th-congress/senate-joint-resolution/53,"116th Congress (2019-2020)",,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Repeal of the Clean Power Plan; Emission Guidelines for Greenhouse Gas Emissions From Existing Electric Utility Generating Units; Revisions to Emission Guidelines Implementing Regulations"".","Sen. Cardin, Benjamin L. [D-MD]",09/09/2019,,,,22,"Senate - Environment and Public Works",10/17/2019,"Failed of passage in Senate by Yea-Nay Vote. 41 - 53. Record Vote Number: 324."
"S.J.Res. 9",https://www.congress.gov/bill/116th-congress/senate-joint-resolution/9,"116th Congress (2019-2020)",,"A joint resolution calling on the United States and Congress to take immediate action to address the challenge of climate change.","Sen. Carper, Thomas R. [D-DE]",02/28/2019,,,,47,"Senate - Environment and Public Works",02/28/2019,"Read twice and referred to the Committee on Environment and Public Works."
